"9","to personalize your experience","Personalization/Customization"
"10","for the purpose of personalizing the ads","Advertising"
"10","for the purpose of personalizing the ads","Advertising"
"11","when required by law or to respond to legal process","Legal requirement"
"11","to protect our customers; to protect lives; to maintain the security of our services; and to protect the rights or property of Microsoft.","Service operation and security"
"12","for research purposes.","Analytics/Research"
"13","for faster results","Additional service/feature"
"13","for faster results","Additional service/feature"
"14","to customize your search experience","Personalization/Customization"
"14","provide features that are most relevant to you and your interests","Additional service/feature"
"17","to provide you with the search results you are requesting","Basic service/feature"
"18","to personalize","Personalization/Customization"
"18","to personalize","Personalization/Customization"
"24","use the information to help provide more relevant ads","Advertising"
"25","ads","Advertising"
"25","ads","Advertising"
"26","promotional email","Marketing"
"26","promotional email, telephone calls and postal mail","Marketing"
"28","in order to verify your identity on behalf of the site or service, to protect you from malicious account usage and to protect the efficiency and security of the Microsoft account service.","Service Operation and Security"
"29","to provide personalized ads","Advertising"
"29","to provide personalized ads","Advertising"
